Pop. Density,Obesity Rate,Smoking Rate,Diabetes Rate,Elderly Pop %,Vaccine %,% Black,% American Indian,% Asian,% Pacific Islander,% Hispanic,% White,% Limited Access to Healthy Foods,Death Rate
-0.255835,-0.395339,0.373005,0.318659,2.011161,0.677139,-0.584798,2.003935,-0.210931,0.061624,0.656467,-0.695215,0.881645,0.025
-0.257153,0.074332,-0.301165,-0.109241,-1.199401,1.091152,-0.527045,1.459518,-0.296936,0.204147,1.697328,-1.239714,1.240589,0.016
-0.26008,-0.546305,-1.059837,-0.235094,-1.272877,-0.587995,-0.510442,0.226083,-0.209395,-0.023451,2.720409,-1.499578,2.676362,0.016
-0.258977,-0.076634,0.055786,1.350654,4.179429,-0.167384,-0.566531,2.048488,-0.201738,0.02702,1.33186,-0.95839,1.240589,0.030
0.179266,-1.066297,-1.413253,-0.939871,-0.882505,0.693633,-0.246884,0.058518,1.027322,0.387052,1.562795,-1.046203,-0.554128,0.016
-0.240359,-0.462435,0.797451,0.394171,2.363311,-0.715004,-0.554255,0.086232,-0.110689,0.295265,0.518588,0.044977,1.360237,0.029
-0.25036,-0.026312,0.516895,0.671048,-0.202922,2.178969,-0.573078,5.597892,-0.298762,-0.025822,0.129886,-1.70081,1.958476,0.028
-0.159834,-1.351455,-1.036844,-0.939871,0.114189,1.514238,-0.392146,0.255477,0.620485,0.255608,2.016151,-1.218236,-0.075537,0.018
-0.21416,0.124654,-0.586285,0.243148,0.233308,0.596315,-0.312926,0.556089,0.118562,0.706379,1.501181,-0.963648,-0.195185,0.015
-0.256568,-0.563079,-1.354194,-0.788847,-0.265934,4.082443,-0.601516,-0.122471,-0.272374,0.047598,5.333137,-3.031072,0.522702,0.020
-0.238107,-1.535968,-0.805283,-0.386117,2.666197,-0.202022,-0.580677,-0.030003,-0.130465,0.053501,0.362807,0.215582,0.522702,0.024
-0.240342,0.745291,-1.11105,-0.109241,-0.089809,1.573619,-0.496873,-0.010441,0.006917,0.29362,3.95035,-2.259858,0.163759,0.022
-0.227987,0.258846,0.77996,1.526848,0.116662,0.203744,1.081424,-0.258085,-0.248766,-0.203639,-0.461138,-0.324689,1.120941,0.017
-0.22422,1.433023,1.022266,0.268318,0.248559,-0.271299,1.084245,-0.212386,-0.444848,-0.06162,-0.299461,-0.381947,0.403054,0.015
-0.178421,-0.395339,0.615529,0.77173,2.379561,-0.281196,-0.604649,-0.202404,-0.35354,-0.143705,-0.516045,0.914695,-0.554128,0.031
0.307386,-0.395339,-0.650454,-0.713335,-1.289049,0.500647,-0.504035,-0.060865,0.852904,1.389738,0.521049,-0.150573,-0.43448,0.014
-0.188167,-0.714044,0.774606,-0.360947,0.250274,-1.123244,-0.603806,-0.192145,-0.297759,-0.026437,-0.509079,0.872079,0.163759,0.020
-0.240393,-0.378565,0.836522,1.501677,-0.107914,0.371164,1.275754,-0.10758,-0.375557,-0.188374,0.437634,-1.027861,-0.43448,0.020
-0.251066,-1.284359,1.056326,-0.662994,0.459778,-1.144687,0.855229,-0.213965,-0.434734,-0.251729,-0.403396,-0.186891,2.915658,0.013
-0.204817,-0.663722,0.232186,-0.9147,0.859082,-0.233362,-0.590773,-0.134142,-0.007458,2.220714,0.403819,0.157918,-0.554128,0.017
-0.242611,1.198188,1.238606,-0.839188,0.284442,-0.016458,3.106339,-0.243947,-0.277794,-0.206163,-0.279642,-1.838627,2.915658,0.023
-0.217648,-1.183715,-0.042551,0.520024,-0.613007,-0.212744,1.057092,-0.22023,-0.314446,-0.168355,-0.345024,-0.375275,1.479884,0.018
-0.233574,0.661421,1.521462,-0.662994,0.442573,-0.577274,-0.576895,-0.238455,-0.464876,-0.248775,-0.543551,0.950176,-0.554128,0.026
-0.212922,0.040784,0.794964,0.092124,1.566453,-0.583872,-0.60369,-0.208287,-0.361369,-0.202083,-0.523004,0.926537,-0.673776,0.024
-0.2457,0.82916,0.932219,0.77173,0.351176,-0.022231,0.172445,-0.238524,-0.476126,-0.208294,-0.524795,0.410892,-0.314833,0.023
-0.215969,1.684632,0.939623,1.60236,-0.420819,-0.290268,1.84279,-0.227726,-0.169623,-0.196367,-0.488444,-0.8363,-0.195185,0.022
-0.220454,1.063996,0.783903,1.149289,-0.003921,0.208693,0.16191,-0.191345,-0.373702,-0.217487,-0.407257,0.263153,-0.314833,0.014
-0.040998,0.980126,0.258181,0.34383,-1.205173,-0.327381,0.491895,-0.234724,-0.10801,-0.164129,-0.323434,-0.020374,0.044111,0.011
-0.138707,0.91303,0.540772,0.394171,-0.542789,-0.404906,-0.531013,0.026309,0.029684,-0.144202,-0.116413,0.387057,-0.075537,0.016
-0.169512,0.594325,0.668187,1.048607,-1.093633,-0.631706,3.12388,-0.254904,-0.303208,-0.150329,-0.508439,-1.711742,-0.43448,0.020
-0.229945,1.433023,1.072165,1.753383,-0.096201,-0.150889,0.959935,-0.251151,-0.274979,-0.18346,-0.553108,-0.162045,-0.314833,0.022
-0.247942,1.063996,0.816412,1.17446,0.970904,0.168281,2.253322,-0.223616,-0.450851,-0.165297,-0.454332,-1.137351,1.120941,0.017
-0.239508,2.355591,1.575925,-0.738506,-0.030712,0.489925,2.650303,-0.249614,-0.316146,0.051056,-0.234531,-1.560884,1.360237,0.017
-0.226056,0.242072,0.712295,1.275142,-0.323437,-0.336453,1.318504,-0.233385,-0.301761,-0.2193,-0.417882,-0.490278,0.283406,0.019
-0.013091,0.510455,-0.075512,-0.51197,-1.440621,0.125395,0.21022,-0.216773,-0.087589,-0.111602,-0.398761,0.196871,-0.314833,0.011
-0.226801,1.466571,1.267518,0.494853,0.041781,-0.220166,-0.567138,-0.119429,-0.177096,0.165956,-0.450726,0.767014,-0.554128,0.020
-0.23612,-0.227599,1.647586,0.066953,1.314042,-1.45396,-0.58472,-0.203445,-0.420575,-0.25796,-0.587118,0.942773,0.403054,0.036
-0.066493,-0.78114,0.332757,0.872412,0.949171,-0.425524,-0.032516,-0.206034,-0.234363,-0.132615,-0.274291,0.28708,0.283406,0.025
-0.225214,0.158202,0.308491,1.124118,-0.268968,-0.403256,-0.441914,-0.237105,-0.393176,-0.141109,-0.487255,0.809037,-0.554128,0.017
-0.173086,0.762064,0.842181,0.645877,-0.727844,-0.612737,-0.504504,-0.225612,-0.394978,0.643037,-0.486582,0.824608,0.044111,0.012
-0.219798,-0.311469,0.933758,2.206454,-0.262312,-0.988813,1.443497,-0.214226,-0.345556,0.15811,0.253904,-1.074989,0.64235,0.014
-0.195069,0.242072,0.862967,0.822071,-0.085663,-0.675417,0.149884,-0.221374,-0.391281,-0.128791,-0.443302,0.320405,-0.195185,0.014
-0.235757,1.516893,0.926535,-0.713335,-0.350124,0.174879,0.806727,-0.101985,-0.340532,-0.031829,0.210655,-0.609814,1.479884,0.015
-0.187365,-0.630174,0.78085,-0.285435,-0.375041,-0.772735,-0.475116,-0.199604,-0.256704,0.246838,-0.225021,0.61142,-0.195185,0.023
-0.234358,-0.194051,0.859933,0.947924,1.327867,-1.070462,-0.484602,-0.193317,-0.354038,-0.261695,-0.510705,0.826019,-0.913072,0.020
-0.228676,0.929804,1.597615,4.11942,-0.30843,-1.108399,0.594376,-0.210787,-0.355669,0.165441,-0.488491,0.029258,0.163759,0.010
-0.136136,1.516893,0.844913,0.545195,-0.369853,-0.750467,3.341261,-0.250929,-0.237485,-0.02694,-0.543371,-1.85383,-0.195185,0.018
-0.209726,1.16464,1.007651,0.117295,-0.600402,-0.138518,-0.51254,-0.153244,0.310527,0.020354,0.3224,0.145289,-0.673776,0.012
-0.248348,2.171077,0.91643,1.62753,1.036904,-0.930258,1.881821,-0.231105,-0.353541,-0.120291,-0.497763,-0.831488,0.044111,0.032
-0.229252,0.745291,1.183138,-0.209923,0.035587,-0.427173,-0.546622,-0.228317,-0.421769,-0.210425,-0.576484,0.933145,0.881645,0.018
-0.244263,1.198188,1.821707,0.494853,0.089185,-1.600762,3.139076,-0.228364,-0.331144,-0.243945,-0.516876,-1.723635,2.197771,0.024
-0.236335,1.869146,1.343055,0.595536,-0.805344,-1.458909,1.486828,-0.236043,-0.422176,-0.278728,-0.414878,-0.592686,1.001293,0.015
-0.237346,0.040784,0.7202,2.105772,0.248687,-1.004483,0.742261,-0.089492,-0.371589,-0.124552,-0.429898,-0.167611,-0.43448,0.038
-0.220136,-0.596627,1.054306,0.721389,0.152428,-0.396658,-0.530406,-0.154684,0.282886,-0.242198,-0.47343,0.711256,-0.43448,0.014
-0.119046,1.265283,0.163734,0.419342,-1.242877,-0.237486,-0.193254,-0.21299,-0.214022,-0.107888,-0.353745,0.476421,-0.195185,0.014
-0.227991,-0.412113,1.071307,-0.08407,-0.078916,-0.549233,-0.600327,-0.085648,-0.257552,0.88831,-0.265469,0.660785,0.403054,0.015
